,Comments
84447,['4.2']
84479,[]
84493,['4.75']
84515,[]
84573,['2.6']
84577,['3.380']
84579,['4.25']
84580,['3.900']
84581,[]
84585,['3.25']
84594,['2.080']
84671,['7.41']
84681,[]
84746,['8.840']
84768,['5.460']
84769,[]
84770,['4.94']
84771,['8.060']
84789,['2.600']
84811,['4.940']
84841,['4.420']
84857,['5.2']
84858,[]
84916,['6.24']
84926,['6.867']
84927,['7.52']
84928,['7.52']
85025,['11.10']
85043,['4.42']
85063,['4.160']
85083,['4.75']
85100,['4.420']
85101,['2.805']
85130,['4.940']
85171,['3.900']
85217,['3.71']
85262,['7.15']
85264,['5.225']
85271,['4.940']
85272,['3.120']
85299,['3.64']
85300,['4.68']
85303,['2.6']
85306,['6.760']
85402,[]
85403,['4.20']
85427,['7.020']
85430,['4.940']
85530,['3.08']
85532,['6.12']
85550,['11.59']
85576,['8.060']
85616,['6.760']
85633,['3.575']
85634,['5.6']
85681,['3.57']
85686,['4.160']
85687,['4.940']
85812,[]
85988,['5.200']
85989,['12.480']
86019,['5.460']
86021,['3.640']
86028,['3.380']
86090,[]
86107,['5.04']
86159,['8.58']
86167,['4.16']
86172,['9.360']
86194,['6.5']
86196,['5.200']
86238,['6.25']
86239,[]
86240,['3.31']
86241,['10.25']
86247,[]
86261,[]
86386,[]
86405,['3.020']
86428,[]
86431,['5.720']
86450,['4.420']
86456,[]
86499,['4.895']
86503,['6.375']
86504,['8.67']
86527,['4.160']
86528,['8.060']
86529,['4.13']
86539,"['3.975', '8307.75', '5815.42']"
86541,[]
86649,['2.805']
86781,['4.94']
86783,['3.640']
86843,['3.06']
86846,['6.76']
87064,[]
87089,['9.010']
87110,[]
87111,[]
87131,['10.455']
87176,['3.38']
87198,['3.57']
87237,['4.680']
87243,"['3.18', '646.20', '652.34']"
87257,['5.35']
87261,"['4.24', '861.60', '203.12']"
87262,['9.945']
87269,"['4.77', '969.30', '978.51']"
87271,['4.08']
87272,['4.505']
87314,['4.08']
87328,['4.940']
87354,['2.04']
87416,['2.860']
87418,['3.570']
87422,['4.500']
87453,['4.5']
87458,['3.06']
87470,['5.200']
87521,['2.860']
87543,['6.855']
87557,['7.14']
87623,['9.8']
87624,['3.64']
87786,['7.14']
87787,['8.16']
87789,['4.08']
87838,['5.035']
87904,['5.980']
87962,['7.14']
87999,[]
88021,['4.59']
88032,['7.280']
88053,['3.975']
88129,['8.67']
88135,['4.48']
88204,['6.63']
88205,['6.375']
88217,['6.750']
88267,['5.13']
88273,['4.08']
88288,['3.18']
88358,[]
88364,['5.61']
88367,['5.20']
88386,['6.24']
88413,['7.14']
88414,['3.6']
88434,[]
88458,['6.12']
88490,['5.1']
88498,[]
88521,['3.640']
88562,['9.945']
88614,['8.415']
88615,['2.805']
88616,['4.59']
88646,['3.60']
88647,['10.36']
88669,['5.3']
88670,['6.3']
88671,['5.3']
88673,['2.295']
88774,['6.12']
88896,[]
88899,['6.12']
88920,[]
89059,['6.885']
89084,['5.30']
89136,['5.61']
89156,['4.59']
89160,['3.4']
89161,[]
89193,['6.63']
89272,['3.315']
89339,['6.375']
89358,[]
89371,['2.55']
89372,['6.12']
89374,['5.98']
89391,[]
89447,[]
89507,['4.335']
89508,['2.805']
89512,['2.295']
89513,['9.945']
89517,['14.3']
89531,['5.200']
89577,[]
89632,['4.605']
89662,['4.94']
89688,['4.94']
89692,[]
89714,['4.420']
89796,['5.61']
89854,[]
89855,[]
89862,['2.08']
89927,['10.4']
90015,['5.72']
90046,['9.62']
90111,['5.30']
90153,"['32.55', '15.0']"
90176,['8.5']
90250,[]
90299,[]
90302,['2.06']
90303,['5.2']
90342,['12.48']
90416,['10.4']
90536,[]
90554,['6.24']
90595,['4.42']
90633,[]
90675,['8.84']
90681,['7.28']
90697,[]
90716,['9.5']
90717,['4.24']
90872,['6.60']
90953,['11.76']
90959,['3.12']
90961,['2.86']
90967,['2.6']
91164,[]
91186,['3.18']
91200,['5.35']
91456,[]
91471,[]
91565,['4.94']
91566,['5.26']
91567,['4.94']
91583,['8.21']
91630,[]
91633,['5.2']
91676,[]
91809,['4.845']
91814,[]
91841,[]
91875,['4.16']
91903,[]
92190,['4.77']
92229,['24.3']
92377,['5.8']
92444,['4.05']
92494,[]
92690,['2.915']
92691,[]
92781,['3.71']
92857,['6.63']
92990,[]
93091,[]
93128,['3.2']
93152,['4.51']
93208,['5.8']
93220,[]
93281,['4.76']
93335,['4.24']
93348,[]
93377,['7.95']
93390,['3.112']
93393,['8.48']
93400,['5.03']
93408,[]
93437,[]
93442,['6.36']
93443,['3.71']
93446,['3.445']
93502,['6.095']
93504,['3.18']
93586,['4.24']
93608,[]
93747,['5.88']
93770,[]
93775,[]
93816,['4.68']
93869,[]
93933,[]
93934,[]
93973,['3.3']
94025,['9.36']
94040,[]
94224,[]
94257,['6.89']
94260,['7.5']
94274,['7.2']
94279,['2.85']
94294,[]
94447,[]
94519,[]
94524,[]
94547,[]
94561,[]
94613,[]
94651,['8.12']
94665,['3.12']
94666,[]
94748,['5.1']
94873,['8.84']
94880,['14.04']
94881,['4.42']
95099,['2.6']
95147,[]
95193,['8.82']
95239,['9.975']
95267,['496.47']
95272,['3.9']
95362,[]
95363,[]
95422,[]
95440,['4.05']
95461,['4.16']
95511,['4.69']
95546,[]
95548,[]
95568,[]
95712,[]
95735,['5.04']
95768,['6.84']
95785,[]
95875,['3.38']
95883,['6.76']
95899,['3.9']
95961,[]
95995,['5.2']
96030,['6.44']
96038,['5.7']
96048,['4.8']
96057,['25.20']
96058,['8.12']
96059,['18.2']
96060,['18.2']
96065,['6.3']
96067,[]
96081,[]
96091,['5.67']
96092,['7.245']
96191,[]
96212,['7.125']
96262,['6.76']
96316,['9.36']
96321,['10.08']
96322,['9.405']
96323,['7.54']
96381,['7.15']
96388,['6.9']
96389,['3.12']
96390,['3.8']
96391,['8.97']
96403,[]
96443,['85.8']
96463,['3.38']
96466,['5.355']
96481,['9.6']
96483,['9.92']
96496,['10.14']
96567,['5.04']
96606,['9.88']
96607,['9.88']
96609,['5.94']
96610,['4.32']
96616,['4.42']
96627,['8.82']
96635,[]
96638,['2.08']
96698,['4.94']
96700,['5.2']
96702,['4.68']
96711,['4.16']
96714,['6.76']
96720,['10.24']
96773,[]
96774,[]
96825,[]
96867,['6.3']
96870,['5.72']
96972,[]
97015,[]
97034,['2.34']
97036,['4.94']
97037,['4.48']
97039,['13.44']
97041,['3.5']
97044,['3.36']
97047,['7.28']
97048,['6.5']
